"Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"MyLib_Inductor:L","L","","Inductor","inductor choke coil reactor magnetic","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_45deg","L_45deg","","Inductor, rotated by 45Â°","inductor choke coil reactor magnetic inductor","L_* Choke_* Inductor_* *Coil*","~"
"MyLib_Inductor:L_Coupled","L_Coupled","","Coupled inductor","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Coupled_1243","L_Coupled_1243","","Coupled inductor","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Coupled_1324","L_Coupled_1324","","Coupled inductor","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Coupled_1342","L_Coupled_1342","","Coupled inductor","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Coupled_1423","L_Coupled_1423","","Coupled inductor","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Coupled_Small","L_Coupled_Small","","Coupled inductor, small symbol","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Coupled_Small_1243","L_Coupled_Small_1243","","Coupled inductor, small symbol","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Coupled_Small_1324","L_Coupled_Small_1324","","Coupled inductor, small symbol","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Coupled_Small_1342","L_Coupled_Small_1342","","Coupled inductor, small symbol","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Coupled_Small_1423","L_Coupled_Small_1423","","Coupled inductor, small symbol","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Ferrite","L_Ferrite","","Inductor with ferrite core","inductor choke coil reactor magnetic","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Ferrite_Coupled","L_Ferrite_Coupled","","Coupled inductor with ferrite core","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Ferrite_Coupled_1243","L_Ferrite_Coupled_1243","","Coupled inductor with ferrite core","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Ferrite_Coupled_1324","L_Ferrite_Coupled_1324","","Coupled inductor with ferrite core","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Ferrite_Coupled_1342","L_Ferrite_Coupled_1342","","Coupled inductor with ferrite core","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Ferrite_Coupled_1423","L_Ferrite_Coupled_1423","","Coupled inductor with ferrite core","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Ferrite_Coupled_Small","L_Ferrite_Coupled_Small","","Coupled inductor with ferrite core, small symbol","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Ferrite_Coupled_Small_1243","L_Ferrite_Coupled_Small_1243","","Coupled inductor with ferrite core, small symbol","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Ferrite_Coupled_Small_1324","L_Ferrite_Coupled_Small_1324","","Coupled inductor with ferrite core, small symbol","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Ferrite_Coupled_Small_1342","L_Ferrite_Coupled_Small_1342","","Coupled inductor with ferrite core, small symbol","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Ferrite_Coupled_Small_1423","L_Ferrite_Coupled_Small_1423","","Coupled inductor with ferrite core, small symbol","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Ferrite_Small","L_Ferrite_Small","","Inductor with ferrite core, small symbol","inductor choke coil reactor magnetic","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Iron","L_Iron","","Inductor with iron core","inductor choke coil reactor magnetic","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Iron_Coupled","L_Iron_Coupled","","Coupled inductor with iron core","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Iron_Coupled_1243","L_Iron_Coupled_1243","","Coupled inductor with iron core","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Iron_Coupled_1324","L_Iron_Coupled_1324","","Coupled inductor with iron core","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Iron_Coupled_1342","L_Iron_Coupled_1342","","Coupled inductor with iron core","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Iron_Coupled_1423","L_Iron_Coupled_1423","","Coupled inductor with iron core","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Iron_Coupled_Small","L_Iron_Coupled_Small","","Coupled inductor with iron core, small symbol","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Iron_Coupled_Small_1243","L_Iron_Coupled_Small_1243","","Coupled inductor with iron core, small symbol","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Iron_Coupled_Small_1324","L_Iron_Coupled_Small_1324","","Coupled inductor with iron core, small symbol","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Iron_Coupled_Small_1342","L_Iron_Coupled_Small_1342","","Coupled inductor with iron core, small symbol","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Iron_Coupled_Small_1423","L_Iron_Coupled_Small_1423","","Coupled inductor with iron core, small symbol","inductor choke coil reactor magnetic coupled","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Iron_Small","L_Iron_Small","","Inductor with iron core, small symbol","inductor choke coil reactor magnetic","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Small","L_Small","","Inductor, small symbol","inductor choke coil reactor magnetic","Choke_* *Coil* Inductor_* L_*","~"
"MyLib_Inductor:L_Trim","L_Trim","","Variable inductor","inductor choke coil reactor magnetic","Inductor_* L_*","~"
